Escherichia_coli	ecoli_achtman_4,ecoli
Shigella	ecoli_achtman_4,ecoli
Klebsiella_pneumoniae	klebsiella
Klebsiella_quasipneumoniae	klebsiella
Klebsiella_variicola	klebsiella
Klebsiella_quasivariicola	klebsiella
Klebsiella_africana	klebsiella
Klebsiella_oxytoca	koxytoca
Klebsiella	none
Enterobacter	ecloacae
Citrobacter	cfreundii
Cronobacter	cronobacter
Salmonella	salmonella,senterica_achtman_2
Serratia	serratia
Proteus	proteus
Providencia	providencia
Morganella	morganella
Acinetobacter_baumannii	abaumannii_2,abaumannii
Haemophilus_influenzae	hinfluenzae
Neisseria	neisseria
Streptococcus_pneumoniae	spneumoniae
Streptococcus_pyogenes	spyogenes
Streptococcus_dysgalactiae	sdysgalactiae
Streptococcus_agalactiae	sagalactiae
Streptococcus	none
Staphylococcus_aureus	saureus
Pseudomonas_aeruginosa	paeruginosa
Vibrio_parahaemolyticus	vparahaemolyticus,vibrio
Listeria_monocytogenes	listeria_2
Bacillus_anthracis	bcereus
Bacillus_cereus	bcereus
Bacillus_thuringiensis	bcereus
Bacillus_paranthracis	bcereus
Bacillus_mobilis	bcereus
Bacillus_paralicheniformis	blicheniformis_14
Bacillus_ayatagriensis	bsubtilis
Legionella_pneumophila	none
